key,count,percent
C# major,11,8.333333333333332
Eb major,11,8.333333333333332
B minor,10,7.575757575757576
E minor,8,6.0606060606060606
D major,8,6.0606060606060606
C major,8,6.0606060606060606
D minor,8,6.0606060606060606
A minor,7,5.303030303030303
B major,6,4.545454545454546
C minor,6,4.545454545454546
A major,5,3.787878787878788
F# minor,5,3.787878787878788
Eb minor,5,3.787878787878788
Ab minor,5,3.787878787878788
C# minor,4,3.0303030303030303
Bb major,4,3.0303030303030303
Ab major,4,3.0303030303030303
G major,3,2.272727272727273
F# major,3,2.272727272727273
F minor,3,2.272727272727273
E major,3,2.272727272727273
G minor,2,1.5151515151515151
Bb minor,2,1.5151515151515151
F major,1,0.7575757575757576
