key,count,percent
Eb minor,4,10.526315789473683
C# major,4,10.526315789473683
E minor,3,7.894736842105263
G major,3,7.894736842105263
D minor,3,7.894736842105263
A minor,3,7.894736842105263
F minor,2,5.263157894736842
D major,2,5.263157894736842
C major,2,5.263157894736842
Eb major,2,5.263157894736842
F# major,2,5.263157894736842
F# minor,1,2.631578947368421
F major,1,2.631578947368421
Ab major,1,2.631578947368421
B minor,1,2.631578947368421
Ab minor,1,2.631578947368421
G minor,1,2.631578947368421
A major,1,2.631578947368421
B major,1,2.631578947368421
