stem,duration_seconds,frames,accepted_frames,accepted_frame_fraction,confidence_threshold,template_label,tonic,mode,template_score,cache_status,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11
child1,56.9334375,5694,3978,0.6986301369863014,0.3,E minor,4,minor,0.8180570387252878,computed,0.071571778871382,0.11099449758939933,0.15057314248532216,0.16788638783933105,0.2129184761789933,0.10574959545037695,0.04329977284214935,0.056582755797052076,0.018582162566995547,0.027270634842412253,0.008993276427908932,0.025577519108677088
child10,37.2209375,3723,3174,0.8525382755842063,0.3,F minor,5,minor,0.8359494721333528,computed,0.04333544406627866,0.022409364154947545,0.025016741311640774,0.05455611258383317,0.14863029504621447,0.16963150688572265,0.1641741049699304,0.1397983751209598,0.1549231955734677,0.05774314599006088,0.015514558686413863,0.004267155610530078
child11,37.652875,3766,3086,0.8194370685077005,0.3,Eb minor,3,minor,0.9007744343410103,computed,0.04382194337432476,0.04384680083282541,0.09530808156879321,0.16268919118409025,0.13855361133444877,0.06617724958639623,0.1753958093836936,0.0991871181532436,0.0505720240849532,0.045250839485120445,0.04519118344225006,0.034006147569860465
child12,35.0606875,3507,3038,0.8662674650698603,0.3,Eb minor,3,minor,0.8365836820450329,computed,0.06231786969863055,0.0421451762252323,0.0872866172008954,0.23610339808256547,0.1714776097411175,0.12750556428081272,0.0948958873128936,0.04595755120942653,0.04644201902219079,0.0,0.005541615467440745,0.0803266917587944
child13,30.499125,3050,2690,0.8819672131147541,0.3,F# minor,6,minor,0.85118349160459,computed,0.02391700429479156,0.08567635904366266,0.03636847261247299,0.09314279909829291,0.18417469406077322,0.1477153504600818,0.19547171744930733,0.05237364823055324,0.031619157071850985,0.0678303680981558,0.05755433798265659,0.0241560915974009
child14,86.8960625,8690,6557,0.7545454545454545,0.3,C# major,1,major,0.8014641250513795,computed,0.06940607084671978,0.27817511799667116,0.15923560624162927,0.16876568334512349,0.06804205973193375,0.07829993726430318,0.05178304295063648,0.04398460641748291,0.03558289610128672,0.02071969062394149,0.0034307989797868455,0.02257448950048496
child2,54.4193125,5442,3778,0.6942300624770305,0.3,F# minor,6,minor,0.7305857636223732,computed,0.032262921934740216,0.006575051596796183,0.006685434184042471,0.035790272763600195,0.07992428947886966,0.17659912355982463,0.35051469042571765,0.14695044883726446,0.07524674250925574,0.04220184910231466,0.013493319971941788,0.033755855635632326
child3,30.0,3001,2559,0.8527157614128624,0.3,F minor,5,minor,0.8190703407706806,computed,0.010261004372422734,0.05548067818458487,0.05021604555222561,0.03495902857086377,0.12161204737346684,0.2024530138120838,0.1511853792015704,0.16910148590819082,0.06651769614836854,0.08613039181808498,0.05208322905813761,0.0
child4,14.16875,1417,1101,0.7769936485532816,0.3,C# major,1,major,0.7974400740046887,computed,0.0,0.0322343079458002,0.06507696070091117,0.013436701839995296,0.0869342867112026,0.13574693297480597,0.19700492233694522,0.1332289375559692,0.20529464791307706,0.04484988535523132,0.08619241666606198,0.0
child5,29.62125,2963,2635,0.8893013837327033,0.3,Eb minor,3,minor,0.7786027139767343,computed,0.0,0.0,0.008905666022459652,0.1331104977593585,0.05541199023544111,0.05215497273692022,0.26860453723401195,0.17251552378291835,0.15826813788854346,0.07611190073013809,0.058954020401101745,0.015962753209106943
child6,33.0,3301,2911,0.8818539836413208,0.3,B minor,11,minor,0.8919565967646538,computed,0.088607643734665,0.12373978379994625,0.1425534515175767,0.09132974334772885,0.05579701295143983,0.08811345522014775,0.02379360898240286,0.003609000525406965,0.033670374805461284,0.09618738330659796,0.09503944282512168,0.15755909898350487
child7,36.882,3689,3154,0.8549742477636216,0.3,E minor,4,minor,0.8351661670400807,computed,0.05786200642882308,0.0038718078761809365,0.004742193507690271,0.031225670209531483,0.1298687322000531,0.027064639203728102,0.08192590206281677,0.256708655446552,0.1196660812966116,0.16988966456589735,0.05014252596725787,0.0670321212348574
child8,45.0,4501,3690,0.8198178182626084,0.3,E minor,4,minor,0.8296498380592078,computed,0.030041065008217363,0.01378585456190397,0.023152076329109476,0.09305646502763126,0.2558005695057718,0.10115111792488173,0.17381366426236655,0.1142809166029987,0.10095587989177389,0.059527856189631266,0.02302615877863574,0.011408375917078264
child9,29.9438125,2995,2550,0.8514190317195326,0.3,F# minor,6,minor,0.8152725729067504,computed,0.0,0.07773022633338614,0.06574929362575062,0.013878043848148358,0.0776873799160783,0.20292042928142864,0.20527171743381728,0.16601323243508678,0.06578842065900872,0.08962957099104576,0.035331685476249396,0.0
q1,15.75,1576,1385,0.8788071065989848,0.3,D minor,2,minor,0.8022897220566346,computed,0.23568580942380413,0.05370057900501197,0.26511609398877617,0.02472071123642353,0.11056156014710504,0.16771956657399864,0.00524370664271137,0.017871021809144152,0.020780546579476516,0.04776553734472838,0.015604433046918805,0.03523043420190132
q10,16.883375,1689,1529,0.9052693901716993,0.3,B minor,11,minor,0.7021645933576603,computed,0.23669497504041034,0.11350406989722672,0.10978549879483598,0.005824599133051936,0.016100296699928452,0.002673407869718532,0.0,0.0,0.0,0.11394757113593988,0.03950327934640968,0.3619663020824785
q100,14.9375625,1494,1194,0.7991967871485943,0.3,D minor,2,minor,0.7780355570377606,computed,0.12447297716900739,0.12044659596358644,0.2073417696602076,0.19347936455935977,0.041303608789717915,0.00322479581826,0.0,0.0,0.022180019905259755,0.18237837659742248,0.09143021025689939,0.013742281280279262
q101,24.28125,2429,2157,0.8880197612186085,0.3,A minor,9,minor,0.832196109005798,computed,0.1197675609777627,0.026790371786676172,0.08204037282622934,0.015124268643222352,0.034665642263500614,0.0,0.008618636917105287,0.08491323296377033,0.08464479355723291,0.22461307823379473,0.11741622068471501,0.20140582114599057
q102,32.9063125,3291,3040,0.9237313886356731,0.3,D major,2,major,0.8769683108851023,computed,0.03198524939631765,0.09659951171663048,0.25829727109509615,0.09143387586515171,0.16062573640336583,0.048811330371857066,0.06961832236207421,0.12135317709120233,0.014326707018602444,0.0796222425110454,0.001634014238258158,0.025692561930398535
q103,19.375,1938,1732,0.8937048503611971,0.3,Eb major,3,major,0.9106919949507503,computed,0.06975069425811015,0.01304284769753608,0.11510267081700401,0.2733529276624864,0.034061973275253,0.08647675612611451,0.038489363419975116,0.14998030793193048,0.08319681463776202,0.016563949763450037,0.09562227089128013,0.024359423519098037
q104,19.0625,1907,1498,0.7855270057682223,0.3,E minor,4,minor,0.8210188121615666,computed,0.01964583296604521,0.01090822913269774,0.17380711059351459,0.0915839882092287,0.2806751298425629,0.0515734882888544,0.0,0.08358135888029734,0.03538216944441715,0.04964650713088031,0.118301705712066,0.08489447979943568
q105,37.5625,3757,3472,0.9241416023422944,0.3,D major,2,major,0.8169361916234313,computed,0.012229271690274587,0.051617241592812786,0.07768498513147182,0.005500784907769654,0.023607833430345004,0.007312859682557293,0.14451595902376788,0.14281483093482758,0.04439947798186767,0.3132016125187186,0.08291742783464558,0.09419771527094158
q106,27.1250625,2713,2378,0.8765204570586067,0.3,G major,7,major,0.925673178970568,computed,0.04221594641813318,0.04751713902087643,0.08788486659794231,0.06402248239856327,0.09323995994227596,0.023537062550603602,0.03978789735905433,0.1429349092385679,0.06152222666264267,0.15486540244555114,0.08772200429606956,0.15475010306971967
