configuration,stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
+ temporal lags (full),child1,119,120,0.8,0.8067226890756303,0.803347280334728,0.95,0.957983193277311,0.9539748953974896,0.95,0.957983193277311,0.9539748953974896,0.08403361344537816,0.06722689075630252,0.008403361344537815
+ temporal lags (full),child10,87,83,0.7590361445783133,0.7241379310344828,0.7411764705882353,0.891566265060241,0.8505747126436781,0.8705882352941176,0.9397590361445783,0.896551724137931,0.9176470588235294,0.12643678160919541,0.19540229885057472,0.022988505747126436
+ temporal lags (full),child11,72,70,0.8857142857142857,0.8611111111111112,0.8732394366197184,0.9428571428571428,0.9166666666666666,0.9295774647887323,0.9571428571428572,0.9305555555555556,0.943661971830986,0.1111111111111111,0.1527777777777778,0.041666666666666664
+ temporal lags (full),child12,89,88,0.7045454545454546,0.6966292134831461,0.7005649717514125,0.8181818181818182,0.8089887640449438,0.8135593220338984,0.875,0.8651685393258427,0.8700564971751412,0.1348314606741573,0.16853932584269662,0.0449438202247191
+ temporal lags (full),child13,62,66,0.8181818181818182,0.8709677419354839,0.84375,0.8636363636363636,0.9193548387096774,0.890625,0.8636363636363636,0.9193548387096774,0.890625,0.16129032258064516,0.14516129032258066,0.04838709677419355
+ temporal lags (full),child14,161,164,0.6524390243902439,0.6645962732919255,0.6584615384615385,0.8048780487804879,0.8198757763975155,0.8123076923076923,0.8292682926829268,0.84472049689441,0.8369230769230769,0.16149068322981366,0.14906832298136646,0.018633540372670808
+ temporal lags (full),child2,110,103,0.7572815533980582,0.7090909090909091,0.7323943661971831,0.941747572815534,0.8818181818181818,0.9107981220657277,0.9514563106796117,0.8909090909090909,0.9201877934272301,0.06363636363636363,0.12727272727272726,0.00909090909090909
+ temporal lags (full),child3,61,59,0.7457627118644068,0.7213114754098361,0.7333333333333334,0.9322033898305084,0.9016393442622951,0.9166666666666666,0.9322033898305084,0.9016393442622951,0.9166666666666666,0.11475409836065574,0.13114754098360656,0.0
+ temporal lags (full),child4,30,28,0.75,0.7,0.7241379310344827,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.9285714285714286,0.8666666666666667,0.896551724137931,0.03333333333333333,0.13333333333333333,0.03333333333333333
+ temporal lags (full),child5,61,61,0.819672131147541,0.819672131147541,0.819672131147541,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.09836065573770492,0.09836065573770492,0.0
+ temporal lags (full),child6,60,63,0.7777777777777778,0.8166666666666667,0.7967479674796747,0.9206349206349206,0.9666666666666667,0.943089430894309,0.9206349206349206,0.9666666666666667,0.943089430894309,0.13333333333333333,0.13333333333333333,0.05
+ temporal lags (full),child7,60,59,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.9152542372881356,0.9,0.9075630252100839,0.9152542372881356,0.9,0.9075630252100839,0.13333333333333333,0.13333333333333333,0.0
+ temporal lags (full),child8,87,84,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.9404761904761905,0.9080459770114943,0.9239766081871346,0.10344827586206896,0.16091954022988506,0.04597701149425287
+ temporal lags (full),child9,61,60,0.9,0.8852459016393442,0.8925619834710743,0.95,0.9344262295081968,0.9421487603305784,0.9666666666666667,0.9508196721311475,0.9586776859504132,0.14754098360655737,0.18032786885245902,0.03278688524590164
