stem,layout,notes,nonempty_lines,numeric_tokens,first_onset_seconds,last_offset_seconds,audio_exists,audio_duration_seconds,annotation_within_audio,adjacent_overlap_count,sha256
child1,note_rows,119,119,357,0.622,56.197,True,56.93337868480726,True,0,341928de4d937ee01cf17e67ba0ee0e28946deed450da3fdf5324639c5e17793
child10,note_rows,87,87,261,0.627,36.081,True,37.220884353741496,True,0,3ad649259d30913364f58e242a4c6970f8c7e4370629b0af51449460bddd3c24
child11,note_rows,72,72,216,1.977,35.768,True,37.652857142857144,True,0,74b418d9769b5049940b6b3e6298c26e3b67311eed915ddcd21b7391e7df39b6
child12,note_rows,89,89,267,1.1,34.301,True,35.06063492063492,True,0,3f14edb44bdeb10d30aa293e542512e1b84dc323a2be3be8ccdf62d9f5ca6ebb
child13,note_rows,62,62,186,1.117,29.142,True,30.49907029478458,True,0,479c1dc5cc8600f20052169318347dc9a3c3eed5fd90cdd5bdc6230a94a26971
child14,note_rows,161,161,483,0.81,86.265,True,86.89605442176871,True,0,450144c0641b39ca7158d13e168307ea11da1e8f42e5d4fa3b23ce81cc4caeb8
child2,note_rows,110,110,330,1.269,54.062,True,54.41925170068027,True,0,88fbaaea2dee43fe98289aae2d1c341e6828bbd6329953132570a950eaca8bde
child3,note_rows,61,61,183,0.525,29.611,True,30.0,True,0,2aa289a25869fe14d789609dd1bc5f0ce432e489cea22f4a2106ac04f4ae6b60
child4,note_rows,30,30,90,1.56,13.623,True,14.168707482993197,True,0,d59b5dfb4d55d01442e96f4f51af2d77aebe2bf0dda5f5a000d4d6114c12501e
child5,note_rows,61,61,183,0.117,29.348,True,29.62124716553288,True,0,146cd51d5a7a9754b6aee69e19cf17925352b89f0de152e849457bdbd7a78656
child6,note_rows,60,60,180,0.128,32.595,True,33.0,True,0,94cf236862b29476e059fc457c33d5aab5e9807e34b51c7342f9761edaab3f95
child7,note_rows,60,60,180,1.225,35.542,True,36.881950113378686,True,0,087681edf1e67121a7f12b48f2c11d69b49cc117981387321cda2a9791bf62a0
child8,note_rows,87,87,261,3.155,42.955,True,45.0,True,0,09959a6b2276fb8e40fceebaf6b74f7712e107a0643efdec84407373bb517dd2
child9,note_rows,61,61,183,1.735,29.506,True,29.9437641723356,True,0,802cbb7227eebc9377d0476c81b31db60e6d262f44d87c6dd706279adda604c2
q1,note_rows,28,28,84,0.385,15.109,True,15.75,True,0,47bcb9e0d7b7caa8ab08b1240d5716bdfb8ad9282a700ab723a10b1e9d2b02bd
q102,note_rows,62,62,186,0.458,32.463,True,32.90625850340136,True,0,486569e536d464f973d9e521b6bc58c560a2d0a95c20d4ae56edbdeef454b8e0
q14,note_rows,27,27,81,0.315,19.865,True,20.28124716553288,True,0,31c8da427a8cd3bb06587f8d0a8bffa41dcb02986eccb420a602be52ec1e6676
q16,note_rows,29,29,87,0.441,16.684,True,17.016666666666666,True,0,8d2ae294cf11e5be17f3cdbd64ba45d4b5e95aae19327de88920de2bfb025344
q18,note_rows,36,36,108,0.548,27.643,True,27.93750566893424,True,0,15900c0273ef8fd37f9c8915c7a01980e7aa34f459a4432ce4292efc6476506c
q2,note_rows,35,35,105,0.525,22.794,True,24.06249433106576,True,0,6920d98f4620cd6451f07f4d5ee26fdb70440aa8585deb47764fd48cdb4f5dd6
q21,note_rows,78,78,234,0.228,32.009,True,32.18750566893424,True,0,d8192339cf55e5913cd9c5db0a79f20c4ff524f02eacb642d1bfb7f2a60a4816
q22,note_rows,85,85,255,0.423,43.959,True,44.28124716553288,True,0,abd8e33e04d505eaf24a7da70a37042986c63b810b2d0c59202ca9bf6d05ce71
q24,note_rows,49,49,147,0.295,19.097,True,20.06249433106576,True,0,5b414deccbb436fd0cd5e1f45e1724fc9554c02b0318c8ad0f71e61bcadf15ab
q34,note_rows,35,35,105,0.377,17.491,True,18.56249433106576,True,0,b492e8ee1bb52484f6793a0aa6538bc91b7ba1da41214d88a3e74843a206a553
q56,note_rows,52,52,156,0.429,16.975,True,17.75,True,0,a0199f08f256e130ca94fb2dd0dfcbe3f81dc51791362ef871bb0628b9af69f6
