decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
5,0.36,0.405,0.162,0.1,0.3,1503,2152,2136,0.7010261194029851
2,0.36,0.405,0.162,0.09,0.3,1509,2152,2155,0.7007197585326213
8,0.36,0.405,0.162,0.11,0.3,1496,2152,2120,0.7003745318352059
14,0.36,0.405,0.18,0.1,0.3,1484,2152,2097,0.6985172981878088
86,0.4,0.405,0.162,0.1,0.3,1481,2152,2092,0.6979264844486334
17,0.36,0.405,0.18,0.11,0.3,1477,2152,2081,0.6978502244271203
11,0.36,0.405,0.18,0.09,0.3,1489,2152,2116,0.6977507029053421
83,0.4,0.405,0.162,0.09,0.3,1487,2152,2111,0.6976307764485105
89,0.4,0.405,0.162,0.11,0.3,1474,2152,2076,0.6972563859981079
4,0.36,0.405,0.162,0.1,0.25,1497,2152,2144,0.696927374301676
1,0.36,0.405,0.162,0.09,0.25,1502,2152,2161,0.6964989566427081
7,0.36,0.405,0.162,0.11,0.25,1491,2152,2132,0.696078431372549
13,0.36,0.405,0.18,0.1,0.25,1478,2152,2105,0.6943857176415316
32,0.36,0.45,0.162,0.1,0.3,1488,2152,2136,0.6940298507462687
29,0.36,0.45,0.162,0.09,0.3,1494,2152,2155,0.6937543533782214
16,0.36,0.405,0.18,0.11,0.25,1472,2152,2093,0.6935217903415783
10,0.36,0.405,0.18,0.09,0.25,1482,2152,2122,0.6934955545156761
35,0.36,0.45,0.162,0.11,0.3,1481,2152,2120,0.6933520599250936
6,0.36,0.405,0.162,0.11,0.2,1490,2152,2146,0.6933457422056769
41,0.36,0.45,0.18,0.1,0.3,1473,2152,2097,0.69333960931984
85,0.4,0.405,0.162,0.1,0.25,1474,2152,2100,0.6933207902163688
3,0.36,0.405,0.162,0.1,0.2,1494,2152,2158,0.6932714617169374
23,0.36,0.405,0.198,0.1,0.3,1464,2152,2072,0.6931818181818181
82,0.4,0.405,0.162,0.09,0.25,1479,2152,2117,0.6929023190442727
0,0.36,0.405,0.162,0.09,0.2,1499,2152,2176,0.6926987060998151
44,0.36,0.45,0.18,0.11,0.3,1466,2152,2081,0.692652964800378
38,0.36,0.45,0.18,0.09,0.3,1478,2152,2116,0.6925960637300844
26,0.36,0.405,0.198,0.11,0.3,1457,2152,2056,0.6924904942965779
88,0.4,0.405,0.162,0.11,0.25,1468,2152,2088,0.6924528301886793
95,0.4,0.405,0.18,0.1,0.3,1457,2152,2059,0.691997150320589
20,0.36,0.405,0.198,0.09,0.3,1468,2152,2091,0.6919632335611595
98,0.4,0.405,0.18,0.11,0.3,1450,2152,2043,0.6912991656734206
92,0.4,0.405,0.18,0.09,0.3,1462,2152,2078,0.6912529550827424
167,0.44,0.405,0.162,0.1,0.3,1450,2152,2045,0.6909697402906839
113,0.4,0.45,0.162,0.1,0.3,1466,2152,2092,0.6908576814326107
164,0.44,0.405,0.162,0.09,0.3,1456,2152,2064,0.6907020872865275
110,0.4,0.45,0.162,0.09,0.3,1472,2152,2111,0.6905934787708187
15,0.36,0.405,0.18,0.11,0.2,1470,2152,2107,0.6903028880018784
170,0.44,0.405,0.162,0.11,0.3,1443,2152,2029,0.6902654867256637
12,0.36,0.405,0.18,0.1,0.2,1474,2152,2119,0.6902364785764459
116,0.4,0.45,0.162,0.11,0.3,1459,2152,2076,0.6901608325449385
87,0.4,0.405,0.162,0.11,0.2,1467,2152,2102,0.689703808180536
84,0.4,0.405,0.162,0.1,0.2,1471,2152,2114,0.6896390060947023
9,0.36,0.405,0.18,0.09,0.2,1478,2152,2137,0.6892049428771275
81,0.4,0.405,0.162,0.09,0.2,1476,2152,2132,0.6890756302521007
22,0.36,0.405,0.198,0.1,0.25,1458,2152,2080,0.6890359168241965
25,0.36,0.405,0.198,0.11,0.25,1452,2152,2068,0.6881516587677725
31,0.36,0.45,0.162,0.1,0.25,1478,2152,2144,0.6880819366852887
19,0.36,0.405,0.198,0.09,0.25,1461,2152,2097,0.6876912214638738
28,0.36,0.45,0.162,0.09,0.25,1483,2152,2161,0.6876883839554835
94,0.4,0.405,0.18,0.1,0.25,1450,2152,2067,0.6873666745674331
40,0.36,0.45,0.18,0.1,0.25,1463,2152,2105,0.6873385012919897
34,0.36,0.45,0.162,0.11,0.25,1472,2152,2132,0.6872082166199814
104,0.4,0.405,0.198,0.1,0.3,1437,2152,2033,0.6867383512544802
91,0.4,0.405,0.18,0.09,0.25,1454,2152,2084,0.6864966949952785
37,0.36,0.45,0.18,0.09,0.25,1467,2152,2122,0.686476368741226
97,0.4,0.405,0.18,0.11,0.25,1444,2152,2055,0.6864749227478013
43,0.36,0.45,0.18,0.11,0.25,1457,2152,2093,0.6864546525323909
166,0.44,0.405,0.162,0.1,0.25,1443,2152,2053,0.6863258026159333
50,0.36,0.45,0.198,0.1,0.3,1449,2152,2072,0.6860795454545454
107,0.4,0.405,0.198,0.11,0.3,1430,2152,2017,0.6860158311345647
163,0.44,0.405,0.162,0.09,0.25,1448,2152,2070,0.6859308384651823
122,0.4,0.45,0.18,0.1,0.3,1444,2152,2059,0.6858228449299454
194,0.44,0.45,0.162,0.1,0.3,1439,2152,2045,0.6857279008815821
101,0.4,0.405,0.198,0.09,0.3,1441,2152,2052,0.6855375832540437
191,0.44,0.45,0.162,0.09,0.3,1445,2152,2064,0.685483870967742
169,0.44,0.405,0.162,0.11,0.25,1437,2152,2041,0.6854280944431195
53,0.36,0.45,0.198,0.11,0.3,1442,2152,2056,0.685361216730038
119,0.4,0.45,0.18,0.09,0.3,1449,2152,2078,0.6851063829787235
125,0.4,0.45,0.18,0.11,0.3,1437,2152,2043,0.6851013110846245
197,0.44,0.45,0.162,0.11,0.3,1432,2152,2029,0.685003587658455
24,0.36,0.405,0.198,0.11,0.2,1450,2152,2082,0.684931506849315
47,0.36,0.45,0.198,0.09,0.3,1453,2152,2091,0.684892764553382
21,0.36,0.405,0.198,0.1,0.2,1454,2152,2094,0.6848798869524257
176,0.44,0.405,0.18,0.1,0.3,1425,2152,2012,0.6844380403458215
112,0.4,0.45,0.162,0.1,0.25,1455,2152,2100,0.6843838193791156
33,0.36,0.45,0.162,0.11,0.2,1470,2152,2146,0.6840390879478828
109,0.4,0.45,0.162,0.09,0.25,1460,2152,2117,0.6840009369875849
30,0.36,0.45,0.162,0.1,0.2,1474,2152,2158,0.6839907192575406
173,0.44,0.405,0.18,0.09,0.3,1430,2152,2031,0.6837198183122161
179,0.44,0.405,0.18,0.11,0.3,1418,2152,1996,0.6837029893924782
115,0.4,0.45,0.162,0.11,0.25,1449,2152,2088,0.6834905660377358
27,0.36,0.45,0.162,0.09,0.2,1479,2152,2176,0.6834565619223659
18,0.36,0.405,0.198,0.09,0.2,1457,2152,2112,0.6833958724202626
96,0.4,0.405,0.18,0.11,0.2,1442,2152,2069,0.6832504145936983
93,0.4,0.405,0.18,0.1,0.2,1446,2152,2081,0.6832034018426647
42,0.36,0.45,0.18,0.11,0.2,1454,2152,2107,0.6827893871800892
39,0.36,0.45,0.18,0.1,0.2,1458,2152,2119,0.682744088035589
168,0.44,0.405,0.162,0.11,0.2,1436,2152,2055,0.6826717375802234
165,0.44,0.405,0.162,0.1,0.2,1440,2152,2067,0.68262621474283
90,0.4,0.405,0.18,0.09,0.2,1450,2152,2099,0.6821924253116914
103,0.4,0.405,0.198,0.1,0.25,1430,2152,2041,0.6820891962795134
162,0.44,0.405,0.162,0.09,0.2,1445,2152,2085,0.6820863818739674
36,0.36,0.45,0.18,0.09,0.2,1462,2152,2137,0.6817439962695266
106,0.4,0.405,0.198,0.11,0.25,1424,2152,2029,0.6811767519732123
100,0.4,0.405,0.198,0.09,0.25,1433,2152,2058,0.6807600950118765
203,0.44,0.45,0.18,0.1,0.3,1417,2152,2012,0.6805955811719501
114,0.4,0.45,0.162,0.11,0.2,1447,2152,2102,0.6803008932769158
111,0.4,0.45,0.162,0.1,0.2,1451,2152,2114,0.6802625410220347
49,0.36,0.45,0.198,0.1,0.25,1439,2152,2080,0.6800567107750473
200,0.44,0.45,0.18,0.09,0.3,1422,2152,2031,0.6798948123356443
206,0.44,0.45,0.18,0.11,0.3,1410,2152,1996,0.6798457087753134
175,0.44,0.405,0.18,0.1,0.25,1418,2152,2020,0.6797698945349951
108,0.4,0.45,0.162,0.09,0.2,1456,2152,2132,0.6797385620915034
121,0.4,0.45,0.18,0.1,0.25,1433,2152,2067,0.679307892865608
193,0.44,0.45,0.162,0.1,0.25,1428,2152,2053,0.679191438763377
52,0.36,0.45,0.198,0.11,0.25,1433,2152,2068,0.6791469194312797
172,0.44,0.405,0.18,0.09,0.25,1422,2152,2037,0.6789209835282884
178,0.44,0.405,0.18,0.11,0.25,1412,2152,2008,0.6788461538461538
190,0.44,0.45,0.162,0.09,0.25,1433,2152,2070,0.6788252013263856
46,0.36,0.45,0.198,0.09,0.25,1442,2152,2097,0.6787479406919275
131,0.4,0.45,0.198,0.1,0.3,1420,2152,2033,0.6786140979689367
118,0.4,0.45,0.18,0.09,0.25,1437,2152,2084,0.6784702549575071
124,0.4,0.45,0.18,0.11,0.25,1427,2152,2055,0.6783931542666983
196,0.44,0.45,0.162,0.11,0.25,1422,2152,2041,0.6782733126639637
105,0.4,0.405,0.198,0.11,0.2,1422,2152,2043,0.6779499404052444
102,0.4,0.405,0.198,0.1,0.2,1426,2152,2055,0.6779177561207511
134,0.4,0.45,0.198,0.11,0.3,1413,2152,2017,0.6778603981770209
128,0.4,0.45,0.198,0.09,0.3,1424,2152,2052,0.6774500475737393
185,0.44,0.405,0.198,0.1,0.3,1403,2152,1991,0.6772869901037895
188,0.44,0.405,0.198,0.11,0.3,1396,2152,1975,0.6765204749212502
99,0.4,0.405,0.198,0.09,0.2,1429,2152,2073,0.6764497041420118
182,0.44,0.405,0.198,0.09,0.3,1407,2152,2010,0.67611725132148
177,0.44,0.405,0.18,0.11,0.2,1410,2152,2022,0.6756109247724007
174,0.44,0.405,0.18,0.1,0.2,1414,2152,2034,0.6755852842809366
