onset,offset,midi,hz
0.28,0.5099999999999998,64.53344529595806,339.9424743652343
0.57,0.7899999999999998,63.81730339278232,326.16729736328114
0.84,1.0899999999999999,64.10202100740203,331.57577514648426
1.15,1.3999999999999997,62.054032153509496,294.5827331542969
1.46,1.7299999999999998,59.704422343460514,257.1966857910156
1.76,2.0399999999999996,59.739779896144896,257.7225036621094
2.08,2.3299999999999996,63.622402022190485,322.5159160798661
2.39,2.65,66.9356114042619,390.5402221679689
2.73,3.2899999999999996,72.02329337720289,523.9556274414062
3.34,3.8,71.88729278214305,519.8557128906252
3.83,3.9499999999999997,70.83016227232248,489.0618896484377
4.02,4.68,68.7583243345445,433.90039062499994
5.23,5.64,74.16810626389069,593.0604011451469
5.67,6.05,71.23763426480693,500.709228515625
6.12,6.35,69.315814551952,448.10021014803976
6.43,6.66,66.825164632144,388.05664062500006
6.73,6.9799999999999995,64.73286483736268,343.8808856131432
7.04,7.279999999999999,63.99069192172636,329.45037841796875
7.38,7.62,61.9521281243008,292.8538513183594
7.72,8.03,59.67006070649967,256.68670654296875
8.37,9.01,71.81775203148813,517.771728515625
9.0,9.379999999999999,71.866879491379,519.2431029487692
