onset,offset,midi,hz
0.16,1.0799999999999998,57.094356820412074,221.20233154296875
1.14,1.9799999999999998,57.26475421763719,223.3902740478516
2.04,2.5,57.207841463401735,222.65710449218744
2.52,2.71,58.3235728912634,237.47921752929685
2.72,3.17,59.90043682267164,260.1252762895277
3.19,3.86,61.6750664544432,288.20440673828125
3.91,4.74,57.013496454276535,220.1715757395173
4.8,5.26,57.040088671427576,220.5100250244141
5.75,6.1899999999999995,57.29595665832306,223.79325866699224
6.19,6.41,58.255789207683186,236.5512237548828
6.42,6.84,60.05152834314595,262.4054260253906
6.86,7.46,61.85493904615995,291.2144165039062
7.57,8.16,52.9144852066397,173.75373107133944
8.57,8.959999999999999,59.70709761208077,257.2364333565999
8.99,9.15,61.68432520615533,288.3585815429688
9.23,9.84,52.853941982944924,173.14715576171875
10.29,10.76,59.88388376720647,259.876678459909
10.8,10.95,61.689317305906,288.4417431680182
11.04,12.04,53.03176239451632,174.93476867675778
12.09,12.64,54.88546691183934,194.7053374399295
13.1,13.56,57.207281463023975,222.64990234375
13.58,13.77,58.10567628644132,234.5089874267578
13.77,13.99,59.52988326287219,254.61671447753906
14.03,14.47,57.699750435892994,229.07437133789062
14.51,14.94,57.05255629187673,220.66888427734375
14.99,16.009999999999998,52.86338940222427,173.24166870117185
