onset,offset,midi,hz
3.79,4.06,53.17310509708362,176.3688302443363
4.2,4.319999999999999,54.86863511070243,194.516128540039
4.4,4.66,54.549950977285675,190.96824645996088
4.65,5.46,55.01168706549577,196.13007511003806
5.36,5.55,59.284521655628225,251.0335741473161
5.54,5.6899999999999995,58.39510950987662,238.4625396728515
5.74,5.88,59.69186258307314,257.0101623535156
5.95,6.38,54.82508022028232,194.02737426757812
6.72,6.85,48.279640413275104,132.94291487284306
6.87,7.029999999999999,50.88268962911462,154.51293945312494
7.1,7.819999999999999,52.412768138828156,168.79055786132815
8.25,8.39,52.192532533771384,166.65692138671872
8.42,8.58,54.4929207385819,190.34019470214844
8.63,8.97,51.35776153565406,158.81167602539057
9.03,9.24,47.90177095242264,130.07266146432914
9.23,9.36,47.765952930523255,129.0562133789063
9.81,9.95,49.920694243559524,146.1613006591797
9.98,10.14,51.77609813387157,162.69595336914062
10.18,10.49,50.04037890571005,147.1752521353219
10.48,11.049999999999999,49.686654905979694,144.19869410230666
13.37,13.98,56.46712970013415,213.33159748341592
14.05,14.37,54.608397387760576,191.61404418945315
14.39,14.57,50.916830435296944,154.81794738769528
14.59,14.75,53.334246116718816,178.01811218261722
14.94,15.11,54.90471816490435,194.92196941746244
15.16,15.32,59.28165038174971,250.99194335937497
15.4,15.799999999999999,59.632340943069266,256.12805175781244
15.87,16.04,58.445809810700055,239.1619161175075
16.09,16.310000000000002,59.489588590803514,254.0247802734375
16.37,17.42,56.69602306647023,216.17086791992182
19.32,20.130000000000003,52.10648989949204,165.8306884765625
20.57,20.71,51.65776223404373,161.58766174316406
20.75,20.909999999999997,52.27672689694933,167.46939086914065
21.01,21.33,57.02208094266312,220.2807769775391
21.32,21.479999999999997,56.227122924057966,210.3945159912109
21.54,22.009999999999998,56.518004330455064,213.95942296643
22.07,22.240000000000002,58.57419299766164,240.94206237792972
22.29,22.439999999999998,59.739330337623514,257.71581133512836
22.48,23.0,61.499399121175706,285.29479980468756
