onset,offset,midi,hz
3.8,3.9699999999999998,43.58645973118764,101.375462848445
4.03,4.39,44.623672648289975,107.63467407226562
4.49,4.859999999999999,45.97653564786325,116.38309312860811
4.85,5.319999999999999,44.882778113342326,109.25770568847655
5.31,5.81,47.033443286388646,123.7095718383789
5.8,6.17,45.449882549733175,112.89595031738283
6.25,6.38,42.74472169912661,96.56442313195552
6.56,6.85,59.60238113325204,255.68519356445435
7.39,7.51,41.286257826330086,88.76267242431639
7.61,8.0,49.6966112457772,144.28164672851562
8.09,8.59,48.005771488865264,130.85639953613284
8.58,9.02,45.096640028024034,110.61575317382808
9.01,9.17,48.03497621189895,131.07733154296875
9.23,9.64,44.70654879944644,108.1511688232422
9.73,9.84,45.06651443871444,110.42343561439517
10.77,10.89,41.50762481684544,89.90493774414061
10.93,11.129999999999999,59.764933543584405,258.09722900390625
11.27,11.42,50.278756664688416,149.21575927734372
11.41,11.91,49.676729069334115,144.11604309082034
12.21,12.59,49.9351669130701,146.28353881835938
12.71,12.85,49.78495344858815,145.019775390625
12.94,13.87,47.56150705500198,127.54111908362229
14.51,14.75,40.97011098368352,87.15645599365234
14.74,14.92,42.78451630455914,96.78664398193358
14.98,15.37,45.27852299093306,111.78400523575412
15.46,16.020000000000003,47.4606942434829,126.80058288574217
16.01,16.369999999999997,46.267364776208055,118.35472106933594
16.36,16.54,45.103017561784775,110.65650939941406
16.61,17.47,42.71305089133092,96.38793182373045
