key,frames,ref_notes,est_notes
F01_0024_0001_1,1374,18,18
F01_0024_0001_2,1374,18,20
F01_0024_0002_1,1548,18,19
F01_0024_0003_1,1548,18,20
F01_0036_0001_1,795,24,24
F01_0036_0001_2,795,24,24
F01_0036_0002_1,795,24,24
F01_0036_0002_2,795,24,24
F01_0047_0001_1_D,1938,43,41
F01_0047_0001_2_D,1938,43,40
F01_0047_0002_1_D,938,23,22
F01_0047_0002_2_D,938,23,23
F01_0052_0001_1,1988,22,22
F01_0052_0001_2,1988,22,22
F01_0052_0002_2,1988,22,22
F01_0052_0003_1,1988,22,23
F01_0052_0003_2,1988,22,24
F01_0067_0001_1,1084,22,23
F01_0067_0001_2,1084,22,20
F01_0067_0002_1,2111,48,47
F01_0067_0002_2,2111,48,48
F01_0095_0001_1_D,2001,44,44
F01_0095_0001_2_D,2001,44,44
F01_0095_0002_1_D,1001,22,22
F01_0095_0002_2_D,1001,22,22
F01_0095_0003_1_D,1001,22,22
F01_0095_0003_2_D,1001,22,23
F01_0113_0001_1_D,873,20,20
F01_0113_0001_2_D,873,20,20
F01_0113_0002_1_D,873,22,23
F01_0113_0002_2_D,873,22,22
F01_0113_0003_1_D,928,24,24
F01_0113_0003_2_D,928,24,24
F01_0126_0001_1,1748,28,28
F01_0126_0001_2,1748,28,29
F01_0126_0002_1_D,2170,28,28
F01_0126_0002_2_D,2170,28,30
F01_0126_0003_1_D,1824,26,26
F01_0126_0003_2_D,1824,26,27
F01_0143_0001_1,1559,34,33
F01_0143_0001_2,1559,34,35
F01_0143_0002_1,907,23,22
F01_0143_0002_2,907,23,23
F01_0149_0001_1,1499,32,32
F01_0149_0001_2,1499,32,32
F01_0149_0002_1,1986,32,32
F01_0149_0002_2,1986,32,32
F01_0167_0001_1_D,1244,19,19
F01_0167_0001_2_D,1244,19,19
F01_0167_0002_1_D,1244,17,18
F01_0167_0002_2_D,1244,17,18
F01_0190_0001_1,1193,21,21
F01_0190_0001_2_D,1201,21,21
F01_0190_0002_1_D,1051,19,18
F01_0190_0002_2_D,1051,19,18
F01_0195_0001_1_D,961,27,27
F01_0195_0001_2_D,961,27,27
