stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F01_0024_0001_1,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0
F01_0024_0001_2,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0
F01_0024_0002_1,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8333333333333334,0.0
F01_0024_0003_1,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05555555555555555,0.052631578947368425,0.8888888888888888,0.8333333333333334,0.0
F01_0036_0001_1,24,24,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.375,0.375,0.375,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.5416666666666666,0.5416666666666666,0.0
F01_0036_0001_2,24,24,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.625,0.0
F01_0036_0002_1,24,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.375,0.375,0.375,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.625,0.5833333333333334,0.0
F01_0036_0002_2,24,24,0.0,0.0,0.0,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.0
F01_0047_0001_1_D,43,41,0.0,0.0,0.0,0.024390243902439025,0.023255813953488372,0.02380952380952381,0.024390243902439025,0.023255813953488372,0.02380952380952381,0.7209302325581395,0.7209302325581395,0.0
F01_0047_0001_2_D,43,40,0.0,0.0,0.0,0.025,0.023255813953488372,0.024096385542168672,0.075,0.06976744186046512,0.07228915662650602,0.6744186046511628,0.6976744186046512,0.0
F01_0047_0002_1_D,23,22,0.0,0.0,0.0,0.045454545454545456,0.043478260869565216,0.04444444444444444,0.09090909090909091,0.08695652173913043,0.08888888888888888,0.782608695652174,0.782608695652174,0.0
F01_0047_0002_2_D,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.782608695652174,0.7391304347826086,0.0
