stem,confidence_threshold,profile_cosine_similarity,jensen_shannon_distance,dominant_pitch_class_match,symbolic_dominant_pitch_class,audio_dominant_pitch_class,symbolic_template_label,audio_template_label,descriptive_exact_label_agreement,descriptive_tonic_agreement,descriptive_mode_agreement,symbolic_pc_0,symbolic_pc_1,symbolic_pc_2,symbolic_pc_3,symbolic_pc_4,symbolic_pc_5,symbolic_pc_6,symbolic_pc_7,symbolic_pc_8,symbolic_pc_9,symbolic_pc_10,symbolic_pc_11,audio_pc_0,audio_pc_1,audio_pc_2,audio_pc_3,audio_pc_4,audio_pc_5,audio_pc_6,audio_pc_7,audio_pc_8,audio_pc_9,audio_pc_10,audio_pc_11
child1,0.3,0.9973304424778714,0.0640491289417564,True,4,4,E minor,E minor,True,True,True,0.062909239011247,0.1057990538550706,0.1557692910178886,0.1721231868166294,0.2156709170086782,0.1063316519941102,0.034430903223785,0.0601522604091613,0.0065791534822519,0.0260346502083399,0.0101820232463422,0.044017669726495,0.0691152861607683,0.1119254931333517,0.1507993353732967,0.1646287129776445,0.2187309984980326,0.1007629613763033,0.0461284411335456,0.0578374683557512,0.0169742827382743,0.0272018023194059,0.0082128675989333,0.0276823503346921
child10,0.3,0.9882935324394978,0.0762833200355186,False,5,6,F minor,F minor,True,True,True,0.0505339435545384,0.0159420289855072,0.0278794813119756,0.0441647597254003,0.1117086193745233,0.194698703279939,0.1797482837528605,0.1193745232646834,0.1731884057971012,0.0513348588863465,0.0246376811594202,0.006788710907704,0.045189706394222,0.0225572293841653,0.0229206934122395,0.0576452064236089,0.1479278593244823,0.1677674006661899,0.1686711070079619,0.1348556264365625,0.1541018021855173,0.0581980769869181,0.0162051231641472,0.0039601686139846
child11,0.3,0.9794950290992817,0.1093783051144556,True,6,6,Eb minor,Eb minor,True,True,True,0.0387139107611548,0.0197236374864906,0.1039447274972981,0.1857341361741547,0.114520611394164,0.0394858730893931,0.2212058051567081,0.0823683804230352,0.0611008182800679,0.0448896093870619,0.0687046472132162,0.0196078431372548,0.0447476852764321,0.0371359273825787,0.0998864623393047,0.1655461487149278,0.1341569923666359,0.0651187365528735,0.1750416704694246,0.1071990644796911,0.0443599752046747,0.0487064619249619,0.0470301595184875,0.0310707157700068
child12,0.3,0.9874280962884132,0.0899647552322918,True,3,3,Eb minor,Eb minor,True,True,True,0.0636340512124811,0.0294217398677292,0.0853823978294049,0.2615736815329829,0.124978802781075,0.1528743428862131,0.0950907240969983,0.0557486857724266,0.053628963879939,0.0,0.0,0.0776666101407495,0.060814445868247,0.0454503268261793,0.0893637534635775,0.2375858510087298,0.1672905448159749,0.1265818984929421,0.0933252819609943,0.0447150789519977,0.048166511005023,0.0,0.0053677033687024,0.0813386042376315
child13,0.3,0.9898678560407664,0.1300747131409167,True,6,6,F# minor,F# minor,True,True,True,0.0218118560149873,0.0984432847138588,0.0229715866006511,0.0863553236094385,0.1691868504393592,0.1576787546277712,0.1885900352379679,0.0797983852981846,0.0320264061733351,0.0837682323029572,0.0593692849814889,0.0,0.0219243564352813,0.0865812759335954,0.0368141488772865,0.0921836438427377,0.1859797449085154,0.1503027439267942,0.1969739876737483,0.0480238135750451,0.0309015652008378,0.0688953623570983,0.0582586906789972,0.0231606665900621
child14,0.3,0.995216400436602,0.064507752053841,True,1,1,C# major,C# major,True,True,True,0.0583698446608976,0.3017344389325412,0.1561176087192669,0.1668537495021191,0.0539160661911142,0.0864865843502188,0.0409168265923163,0.0521961110909944,0.0389796140058656,0.0240069522395625,0.0051598653003584,0.0152623384147444,0.0744355320726941,0.2744879331992148,0.159495099022552,0.1678159038073119,0.0678237947747446,0.0760654186551785,0.0562513993510899,0.0421287514697536,0.0359865542337119,0.0203911218826533,0.0027654295771383,0.0223530619539564
child2,0.3,0.9943926565674148,0.0863309152878001,True,6,6,F# minor,F# minor,True,True,True,0.0228849505145825,0.0,0.0073652714299804,0.0338013349554466,0.079636997336665,0.1435899122085959,0.4000591852168471,0.1553940749021803,0.0761187650018087,0.0315325683096044,0.0193338375036989,0.0302831026205897,0.0333836061959289,0.0073968996111726,0.0064076220482817,0.036406839429466,0.0794761686694443,0.1707011606310302,0.3553753036673712,0.1510225601244643,0.0696495640006798,0.0420390607307786,0.013312179954377,0.034829034937005
child3,0.3,0.9866936606958848,0.1067025763595379,True,5,5,F major,F minor,False,True,False,0.0328818061088977,0.0446746347941567,0.0505179282868525,0.0296414342629483,0.0942895086321378,0.2291102257636124,0.1417795484727756,0.1746082337317397,0.0395219123505975,0.1057104913678617,0.0572642762284196,0.0,0.0103126014580416,0.0580352075975656,0.0480496335858121,0.0336469265976006,0.122245151923919,0.2050832502604102,0.1455683435390587,0.168837419736042,0.0720313875143724,0.0883541594324398,0.0478359183547375,0.0
child4,0.3,0.9727971700533642,0.2107049214608903,True,8,8,F minor,C# major,False,False,False,0.0,0.0,0.0956731379266592,0.0272808019286892,0.0671234614896585,0.1545489151122952,0.1629234868671488,0.1115340692805481,0.2379139703083365,0.0,0.1430021570866642,0.0,0.0,0.0286684138490457,0.0671913866605481,0.0256147436169669,0.0788431701889499,0.1361045883205417,0.192591101260113,0.1231809647868506,0.2159073430539274,0.0428452224369997,0.0890530658260566,0.0
child5,0.3,0.9859962053862064,0.1647110601941368,True,6,6,Eb minor,Eb minor,True,True,True,0.0,0.0,0.0,0.1598770176787087,0.0221096893792106,0.0199846272098387,0.2826332685264728,0.185016051001492,0.1761993037030337,0.0620337297101777,0.0921463127910656,0.0,0.0,0.0,0.0060894811845989,0.1350190402480582,0.0568686728210406,0.0532047704431283,0.2606441223022778,0.1894634577330967,0.1481416423213384,0.0742315748904305,0.0604076648617452,0.015929573194285
child6,0.3,0.9908575624492412,0.0821938475387088,True,11,11,B minor,B minor,True,True,True,0.0523731587561372,0.1262327416173569,0.160392798690671,0.0909815770699567,0.0576188677661674,0.0974442905703135,0.0234588106928532,0.0,0.049477527382601,0.0876662889756179,0.084141172520878,0.1702127659574465,0.0885649132623437,0.1227828019589984,0.1422075866299895,0.0914212123085288,0.0532204712793012,0.0921515263808232,0.0227583405145795,0.003711321240527,0.0365887480559662,0.0930687759178236,0.0922445616889578,0.1612797407621607
child7,0.3,0.9917379173942514,0.1545581073092628,True,7,7,E minor,E minor,True,True,True,0.0636052905335116,0.0,0.0136350126318919,0.0104398870560261,0.152660127805023,0.0,0.086342695794323,0.271251300341804,0.1058106702333184,0.1823450735621934,0.0517536038044285,0.0621563382374795,0.0531651807340091,0.0052052659807609,0.0054920222841035,0.03152945005945,0.1274338897883693,0.0271653199196844,0.0745871180917266,0.2634749551881617,0.1224745938763193,0.1671002303955174,0.051177253176582,0.0711947205053154
child8,0.3,0.9902466382958284,0.1226531421429601,True,4,4,E minor,E minor,True,True,True,0.0521778437893513,0.0071679958671012,0.0244745084110941,0.0781053243356688,0.2710600238933196,0.0939588647444383,0.2045139001000938,0.0964127732394823,0.1048400116237769,0.0330954764134189,0.0341932775822542,0.0,0.0291300557312157,0.0126702443762872,0.02311328236954,0.0917487428300592,0.2548301781015885,0.1013056886256111,0.1776376364344814,0.1136899016601996,0.0989798411228459,0.0608603099060784,0.0232524218993773,0.0127816969427152
child9,0.3,0.992118211966516,0.1039454583770536,True,6,6,F# minor,F# minor,True,True,True,0.0,0.0587230002373604,0.0932352243057202,0.0,0.0668882031806314,0.1916923807263232,0.2105862805601711,0.1930215998101115,0.0444813671967719,0.089010206503679,0.0523617374792309,0.0,0.0,0.0756992088058933,0.0682237104996103,0.0111803146628039,0.0780034849565965,0.1993737701898903,0.2055967911071387,0.1708772047727785,0.064596824154714,0.0883903410974074,0.0380583497531667,0.0
