stem,duration_seconds,frames,accepted_frames,accepted_frame_fraction,confidence_threshold,template_label,tonic,mode,template_score,cache_status,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11
child1,56.9334375,5694,3978,0.6986301369863014,0.3,E minor,4,minor,0.8180570387252878,computed,0.071571778871382,0.1109944975893993,0.1505731424853221,0.167886387839331,0.2129184761789933,0.1057495954503769,0.0432997728421493,0.056582755797052,0.0185821625669955,0.0272706348424122,0.0089932764279089,0.025577519108677
child10,37.2209375,3723,3174,0.8525382755842063,0.3,F minor,5,minor,0.8359494721333528,computed,0.0433354440662786,0.0224093641549475,0.0250167413116407,0.0545561125838331,0.1486302950462144,0.1696315068857226,0.1641741049699304,0.1397983751209598,0.1549231955734677,0.0577431459900608,0.0155145586864138,0.00426715561053
child11,37.652875,3766,3086,0.8194370685077005,0.3,Eb minor,3,minor,0.9007744343410105,computed,0.0438219433743247,0.0438468008328254,0.0953080815687932,0.1626891911840902,0.1385536113344487,0.0661772495863962,0.1753958093836936,0.0991871181532436,0.0505720240849532,0.0452508394851204,0.04519118344225,0.0340061475698604
child12,35.0606875,3507,3038,0.8662674650698603,0.3,Eb minor,3,minor,0.8365836820450329,computed,0.0623178696986305,0.0421451762252323,0.0872866172008954,0.2361033980825654,0.1714776097411175,0.1275055642808127,0.0948958873128936,0.0459575512094265,0.0464420190221907,0.0,0.0055416154674407,0.0803266917587944
child13,30.499125,3050,2690,0.8819672131147541,0.3,F# minor,6,minor,0.85118349160459,computed,0.0239170042947915,0.0856763590436626,0.0363684726124729,0.0931427990982929,0.1841746940607732,0.1477153504600818,0.1954717174493073,0.0523736482305532,0.0316191570718509,0.0678303680981558,0.0575543379826565,0.0241560915974009
child14,86.8960625,8690,6557,0.7545454545454545,0.3,C# major,1,major,0.8014641250513795,computed,0.0694060708467197,0.2781751179966711,0.1592356062416292,0.1687656833451234,0.0680420597319337,0.0782999372643031,0.0517830429506364,0.0439846064174829,0.0355828961012867,0.0207196906239414,0.0034307989797868,0.0225744895004849
child2,54.4193125,5442,3778,0.6942300624770305,0.3,F# minor,6,minor,0.7305857636223732,computed,0.0322629219347402,0.0065750515967961,0.0066854341840424,0.0357902727636001,0.0799242894788696,0.1765991235598246,0.3505146904257176,0.1469504488372644,0.0752467425092557,0.0422018491023146,0.0134933199719417,0.0337558556356323
child3,30.0,3001,2559,0.8527157614128624,0.3,F minor,5,minor,0.8190703407706806,computed,0.0102610043724227,0.0554806781845848,0.0502160455522256,0.0349590285708637,0.1216120473734668,0.2024530138120838,0.1511853792015704,0.1691014859081908,0.0665176961483685,0.0861303918180849,0.0520832290581376,0.0
child4,14.16875,1417,1101,0.7769936485532816,0.3,C# major,1,major,0.7974400740046887,computed,0.0,0.0322343079458002,0.0650769607009111,0.0134367018399952,0.0869342867112026,0.1357469329748059,0.1970049223369452,0.1332289375559692,0.205294647913077,0.0448498853552313,0.0861924166660619,0.0
child5,29.62125,2963,2635,0.8893013837327033,0.3,Eb minor,3,minor,0.7786027139767343,computed,0.0,0.0,0.0089056660224596,0.1331104977593585,0.0554119902354411,0.0521549727369202,0.2686045372340119,0.1725155237829183,0.1582681378885434,0.076111900730138,0.0589540204011017,0.0159627532091069
