stem,error_type,event_time,reference_index,estimate_index,distance_to_phrase_boundary_seconds,near_phrase_boundary
child1,split,0.82,0,1,0.19799999999999995,False
child1,split,2.42,4,6,0.7160000000000002,False
child1,split,7.26,13,15,0.3819999999999997,False
child1,split,11.5,22,24,0.9290000000000003,False
child1,split,16.6,31,33,0.4410000000000025,False
child1,split,21.55,40,42,0.6140000000000008,False
child1,split,30.68,61,63,0.5620000000000012,False
child1,split,40.87,86,88,0.9420000000000002,False
child1,split,41.16,87,89,0.7410000000000068,False
child1,split,43.32,91,94,0.9549999999999983,False
child1,split,43.32,92,94,0.9549999999999983,False
child1,merged,7.246,13,14,0.3680000000000003,False
child1,merged,11.507,22,23,0.9220000000000006,False
child1,merged,16.581,31,32,0.4220000000000006,False
child1,merged,21.557,40,41,0.6209999999999987,False
child1,merged,30.681,61,62,0.5630000000000024,False
child1,merged,40.827,86,87,0.8990000000000009,False
child1,merged,41.169,87,88,0.7320000000000064,False
child1,merged,43.345,92,93,0.9799999999999969,False
child1,merged,43.345,92,94,0.9799999999999969,False
child10,split,1.29,2,2,0.663,False
child10,split,2.58,5,6,1.229,False
child10,split,15.69,33,32,0.41300000000000026,False
child10,split,16.37,35,34,1.0930000000000017,False
child10,split,23.2,52,50,1.5679999999999978,False
child10,split,25.03,57,55,1.4369999999999976,False
child10,split,27.72,64,62,0.9390000000000001,False
child10,split,28.02,65,63,1.2390000000000008,False
child10,split,33.33,79,76,0.8969999999999985,False
child10,merged,1.292,2,1,0.665,False
child10,merged,2.595,6,6,1.214,False
child10,merged,8.664,18,17,0.661999999999999,False
child10,merged,11.205,25,23,0.9160000000000004,False
child10,merged,15.645,33,31,0.3680000000000003,False
child10,merged,15.793,34,32,0.516,False
child10,merged,16.402,36,34,1.1250000000000018,False
child10,merged,18.2,41,38,0.8689999999999998,False
child10,merged,24.98,57,54,1.4869999999999983,False
child10,merged,25.311,58,55,1.1559999999999988,False
child10,merged,27.744,65,62,0.963000000000001,False
child10,merged,28.064,66,63,1.2830000000000013,False
child10,merged,29.487,70,66,0.5660000000000025,False
child10,merged,33.336,80,76,0.9029999999999987,False
child10,merged,34.793,85,80,1.2880000000000038,False
child10,spurious,14.65,-1,30,0.08999999999999986,True
child10,spurious,36.29,-1,82,0.20899999999999608,False
child11,split,6.01,8,10,0.29000000000000004,False
child11,split,6.96,10,12,1.2400000000000002,False
child11,split,6.96,11,12,1.2400000000000002,False
child11,split,8.23,14,15,0.8789999999999996,False
child11,split,8.55,15,16,0.5589999999999993,False
child11,split,15.81,30,29,0.8349999999999991,False
child11,split,21.65,41,41,0.6179999999999986,False
child11,split,27.67,55,52,0.45099999999999696,False
child11,split,28.84,57,54,0.28200000000000003,False
child11,split,34.94,70,66,0.828000000000003,False
child11,merged,6.017,9,10,0.2970000000000006,False
child11,merged,6.967,11,11,1.2469999999999999,False
child11,merged,6.967,11,12,1.2469999999999999,False
child11,merged,8.217,14,14,0.8919999999999995,False
child11,merged,8.514,15,15,0.5950000000000006,False
child11,merged,11.149,20,20,1.642999999999999,False
child11,merged,13.629,25,24,0.2959999999999994,False
child11,merged,15.81,30,28,0.8349999999999991,False
child11,merged,21.68,42,41,0.6479999999999997,False
child11,merged,22.298,43,41,1.2659999999999982,False
child11,merged,27.348,54,51,0.7729999999999997,False
child11,merged,27.673,55,51,0.4480000000000004,False
child11,merged,28.843,57,53,0.28500000000000014,False
child11,merged,32.676,65,61,0.2430000000000021,False
child11,merged,34.924,70,65,0.8440000000000012,False
child11,spurious,0.42,-1,0,1.5570000000000002,False
child11,spurious,36.04,-1,68,0.27199999999999847,False
child11,spurious,36.48,-1,69,0.7119999999999962,False
child12,split,1.62,2,3,0.52,False
child12,split,1.89,2,4,0.7899999999999998,False
child12,split,4.84,10,9,0.5419999999999998,False
child12,split,7.54,16,16,0.12100000000000044,True
child12,split,8.56,20,19,1.141000000000001,False
child12,split,10.3,26,25,0.770999999999999,False
child12,split,13.68,33,33,0.08300000000000018,True
child12,split,14.31,35,34,0.713000000000001,False
child12,split,16.32,42,41,1.0150000000000006,False
child12,split,17.06,44,43,0.27500000000000213,False
child12,split,18.26,47,47,0.5370000000000026,False
child12,split,18.63,48,48,0.6430000000000007,False
child12,split,21.0,53,54,1.161999999999999,False
child12,split,25.69,67,70,0.4789999999999992,False
child12,split,32.47,84,87,1.4429999999999978,False
child12,split,33.4,87,90,0.9010000000000034,False
child12,merged,1.611,2,2,0.5109999999999999,False
child12,merged,1.901,3,4,0.8009999999999999,False
child12,merged,2.804,6,6,1.0430000000000001,False
child12,merged,4.72,9,8,0.4219999999999997,False
child12,merged,4.837,10,8,0.5389999999999997,False
child12,merged,7.876,17,16,0.45700000000000074,False
child12,merged,8.547,20,18,1.128000000000001,False
child12,merged,10.302,26,24,0.7690000000000001,False
child12,merged,14.09,34,33,0.4930000000000003,False
child12,merged,14.192,35,33,0.5950000000000006,False
child12,merged,15.99,41,39,1.3450000000000006,False
child12,merged,16.564,43,41,0.7710000000000008,False
child12,merged,17.142,45,43,0.1930000000000014,False
child12,merged,18.633,48,47,0.6400000000000006,False
child12,merged,25.7,68,70,0.4690000000000012,False
child12,merged,32.469,84,86,1.4420000000000002,False
child12,merged,33.397,87,89,0.9040000000000035,False
child12,merged,33.752,88,90,0.5489999999999995,False
child12,spurious,0.51,-1,0,0.5900000000000001,False
child12,spurious,17.53,-1,44,0.19299999999999784,False
child12,spurious,22.73,-1,60,0.021000000000000796,True
child12,spurious,30.8,-1,81,0.2270000000000003,False
child13,split,1.42,0,2,0.30299999999999994,False
child13,split,5.41,9,12,2.423,False
child13,split,6.85,13,15,0.9830000000000005,False
child13,split,7.18,13,16,0.6530000000000005,False
child13,split,11.99,23,26,0.30100000000000016,False
child13,split,12.91,26,29,1.221,False
child13,split,15.59,32,34,0.29299999999999926,False
child13,split,23.59,48,51,1.2049999999999983,False
child13,split,23.87,49,52,1.4849999999999994,False
child13,split,24.78,52,54,0.6439999999999984,False
child13,split,27.06,57,60,1.232999999999997,False
child13,split,27.8,59,62,1.3419999999999987,False
child13,merged,1.429,1,2,0.31200000000000006,False
child13,merged,5.449,10,12,2.3840000000000003,False
child13,merged,6.833,13,14,1.0,False
child13,merged,7.194,14,16,0.6390000000000002,False
child13,merged,12.007,24,26,0.3179999999999996,False
child13,merged,12.914,27,29,1.2249999999999996,False
child13,merged,15.588,32,33,0.2909999999999986,False
child13,merged,23.614,49,51,1.2289999999999992,False
child13,merged,23.903,50,52,1.5179999999999971,False
child13,merged,24.717,52,53,0.7070000000000007,False
child13,merged,27.09,58,60,1.2629999999999981,False
child13,spurious,0.12,-1,0,0.997,False
child13,spurious,4.54,-1,9,3.293,False
child13,spurious,29.96,-1,65,0.8180000000000014,False
child14,split,1.13,1,1,0.31999999999999984,False
child14,split,1.53,2,2,0.51,False
child14,split,4.96,8,8,0.13900000000000023,True
child14,split,7.41,12,13,1.8840000000000003,False
child14,split,7.9,13,14,1.8680000000000003,False
child14,split,12.22,23,22,0.4530000000000012,False
child14,split,17.22,32,30,1.2439999999999998,False
child14,split,18.31,35,34,0.15399999999999991,False
child14,split,24.87,41,41,1.6560000000000024,False
child14,split,25.83,43,44,2.6159999999999997,False
child14,split,26.39,43,45,3.176000000000002,False
child14,split,35.1,57,58,1.945999999999998,False
child14,split,43.12,73,74,0.35300000000000153,False
child14,split,46.21,78,80,2.1850000000000023,False
child14,split,47.06,81,82,2.442,False
child14,split,48.06,83,84,1.4420000000000002,False
child14,split,49.11,85,87,0.392000000000003,False
child14,split,50.87,89,90,0.6439999999999984,False
child14,split,51.99,92,93,0.10799999999999699,True
child14,split,62.57,109,108,2.368000000000002,False
child14,split,71.52,125,123,1.5279999999999916,False
child14,split,73.71,129,127,0.7000000000000028,False
child14,split,80.34,144,142,1.5,False
child14,split,80.76,146,143,1.6099999999999994,False
child14,split,82.13,149,146,0.2400000000000091,False
child14,split,83.35,152,149,0.5599999999999881,False
child14,merged,1.138,1,0,0.32799999999999985,False
child14,merged,1.545,2,1,0.4950000000000001,False
child14,merged,3.2,5,4,0.839,False
child14,merged,7.559,13,13,2.0330000000000004,False
child14,merged,7.921,14,14,1.8470000000000004,False
child14,merged,9.711,18,17,0.057000000000000384,True
child14,merged,12.9,25,23,1.133000000000001,False
