stem,old_onset_positives,new_onset_positives,old_offset_positives,new_offset_positives
child1,357,357,357,357
child10,261,261,261,261
child11,216,216,216,216
child12,267,267,267,267
child13,186,186,186,186
child14,483,483,483,483
child2,330,330,330,330
child3,183,183,183,183
child4,90,90,90,90
child5,183,183,183,183
child6,180,180,180,180
child7,180,180,180,180
child8,261,261,261,261
child9,183,183,183,183
q1,84,84,84,84
q102,186,186,186,186
q14,81,81,81,81
q16,87,87,87,87
q18,108,108,108,108
q2,105,105,105,105
q21,234,234,234,234
q22,255,255,255,255
q24,147,147,147,147
q34,105,105,105,105
q56,156,156,156,156
q58,111,111,111,111
q59,87,87,87,87
q61,87,87,87,87
q62,96,96,96,96
q63,102,102,102,102
q73,117,117,117,117
q8,168,168,168,168
q80,3,168,3,168
q85,3,69,3,69
q86,3,153,3,153
q87,3,201,3,201
q9,129,129,129,129
q96,60,60,60,60
