decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
5,0.36,0.405,0.162,0.1,0.3,1195,1702,1704,0.7017028772753964
8,0.36,0.405,0.162,0.11,0.3,1189,1702,1689,0.7012680625184312
14,0.36,0.405,0.18,0.1,0.3,1182,1702,1672,0.7006520450503854
17,0.36,0.405,0.18,0.11,0.3,1176,1702,1657,0.7002083953557607
2,0.36,0.405,0.162,0.09,0.3,1198,1702,1721,0.6999707858603563
11,0.36,0.405,0.18,0.09,0.3,1184,1702,1689,0.6983190799174285
4,0.36,0.405,0.162,0.1,0.25,1190,1702,1712,0.6971294669009959
13,0.36,0.405,0.18,0.1,0.25,1177,1702,1680,0.6960378474275576
7,0.36,0.405,0.162,0.11,0.25,1183,1702,1701,0.6952688803996474
1,0.36,0.405,0.162,0.09,0.25,1192,1702,1728,0.6950437317784257
86,0.4,0.405,0.162,0.1,0.3,1169,1702,1664,0.6945929887106358
16,0.36,0.405,0.18,0.11,0.25,1170,1702,1669,0.694156036784337
89,0.4,0.405,0.162,0.11,0.3,1163,1702,1649,0.6941211578633244
3,0.36,0.405,0.162,0.1,0.2,1188,1702,1724,0.6935201401050789
10,0.36,0.405,0.18,0.09,0.25,1178,1702,1696,0.6933490288404944
83,0.4,0.405,0.162,0.09,0.3,1172,1702,1681,0.6928761454330477
6,0.36,0.405,0.162,0.11,0.2,1183,1702,1715,0.6924202516827627
12,0.36,0.405,0.18,0.1,0.2,1175,1702,1692,0.6923983500294637
15,0.36,0.405,0.18,0.11,0.2,1170,1702,1683,0.691285081240768
0,0.36,0.405,0.162,0.09,0.2,1190,1702,1742,0.6910569105691057
85,0.4,0.405,0.162,0.1,0.25,1165,1702,1672,0.6905749851807944
23,0.36,0.405,0.198,0.1,0.3,1156,1702,1651,0.6895317626006561
9,0.36,0.405,0.18,0.09,0.2,1176,1702,1710,0.6893317702227433
26,0.36,0.405,0.198,0.11,0.3,1150,1702,1636,0.689035350509287
95,0.4,0.405,0.18,0.1,0.3,1150,1702,1636,0.689035350509287
88,0.4,0.405,0.162,0.11,0.25,1158,1702,1661,0.688670829616414
98,0.4,0.405,0.18,0.11,0.3,1144,1702,1621,0.68853445681613
82,0.4,0.405,0.162,0.09,0.25,1167,1702,1688,0.6884955752212389
84,0.4,0.405,0.162,0.1,0.2,1163,1702,1684,0.6869462492616657
20,0.36,0.405,0.198,0.09,0.3,1156,1702,1667,0.6862570495696052
92,0.4,0.405,0.18,0.09,0.3,1151,1702,1653,0.686140089418778
87,0.4,0.405,0.162,0.11,0.2,1158,1702,1675,0.6858158128516434
167,0.44,0.405,0.162,0.1,0.3,1137,1702,1616,0.6853526220614828
32,0.36,0.45,0.162,0.1,0.3,1167,1702,1704,0.6852613035819142
94,0.4,0.405,0.18,0.1,0.25,1146,1702,1644,0.684997011356844
22,0.36,0.405,0.198,0.1,0.25,1151,1702,1659,0.6849152038083903
170,0.44,0.405,0.162,0.11,0.3,1131,1702,1601,0.6848319709355132
29,0.36,0.45,0.162,0.09,0.3,1172,1702,1721,0.6847794332456909
35,0.36,0.45,0.162,0.11,0.3,1161,1702,1689,0.6847537599528164
81,0.4,0.405,0.162,0.09,0.2,1165,1702,1702,0.6844888366627497
164,0.44,0.405,0.162,0.09,0.3,1140,1702,1633,0.6836581709145427
41,0.36,0.45,0.18,0.1,0.3,1153,1702,1672,0.6834617664493183
97,0.4,0.405,0.18,0.11,0.25,1139,1702,1633,0.6830584707646177
25,0.36,0.405,0.198,0.11,0.25,1144,1702,1648,0.6829850746268658
44,0.36,0.45,0.18,0.11,0.3,1147,1702,1657,0.682941351592736
38,0.36,0.45,0.18,0.09,0.3,1157,1702,1689,0.6823945738720142
176,0.44,0.405,0.18,0.1,0.3,1124,1702,1595,0.6818319684561723
91,0.4,0.405,0.18,0.09,0.25,1146,1702,1660,0.6817370612730518
93,0.4,0.405,0.18,0.1,0.2,1144,1702,1656,0.6813579511614056
166,0.44,0.405,0.162,0.1,0.25,1133,1702,1624,0.6812988574864701
179,0.44,0.405,0.18,0.11,0.3,1118,1702,1580,0.6812918951858623
19,0.36,0.405,0.198,0.09,0.25,1150,1702,1674,0.6812796208530806
21,0.36,0.405,0.198,0.1,0.2,1148,1702,1671,0.6806996738808182
96,0.4,0.405,0.18,0.11,0.2,1139,1702,1647,0.6802030456852792
31,0.36,0.45,0.162,0.1,0.25,1161,1702,1712,0.680140597539543
24,0.36,0.405,0.198,0.11,0.2,1143,1702,1662,0.6795481569560048
169,0.44,0.405,0.162,0.11,0.25,1126,1702,1613,0.6793363499245851
28,0.36,0.45,0.162,0.09,0.25,1165,1702,1728,0.6793002915451894
163,0.44,0.405,0.162,0.09,0.25,1135,1702,1640,0.6792339916217833
113,0.4,0.45,0.162,0.1,0.3,1143,1702,1664,0.6791443850267379
173,0.44,0.405,0.18,0.09,0.3,1125,1702,1612,0.6789378394689198
110,0.4,0.45,0.162,0.09,0.3,1148,1702,1681,0.6786875554241797
116,0.4,0.45,0.162,0.11,0.3,1137,1702,1649,0.6786034019695614
40,0.36,0.45,0.18,0.1,0.25,1147,1702,1680,0.6782968657599054
34,0.36,0.45,0.162,0.11,0.25,1154,1702,1701,0.6782250955039671
175,0.44,0.405,0.18,0.1,0.25,1120,1702,1603,0.6777609682299546
90,0.4,0.405,0.18,0.09,0.2,1144,1702,1674,0.6777251184834123
104,0.4,0.405,0.198,0.1,0.3,1124,1702,1617,0.6773124435070805
165,0.44,0.405,0.162,0.1,0.2,1130,1702,1635,0.6772550194785736
37,0.36,0.45,0.18,0.09,0.25,1150,1702,1696,0.6768687463213654
107,0.4,0.405,0.198,0.11,0.3,1118,1702,1602,0.6767554479418886
18,0.36,0.405,0.198,0.09,0.2,1147,1702,1688,0.6766961651917404
43,0.36,0.45,0.18,0.11,0.25,1140,1702,1669,0.676357164046277
168,0.44,0.405,0.162,0.11,0.2,1125,1702,1626,0.6760817307692307
178,0.44,0.405,0.18,0.11,0.25,1113,1702,1592,0.6757741347905282
30,0.36,0.45,0.162,0.1,0.2,1156,1702,1724,0.6748394629305312
