outer_fold,stem,role
1,child1,train
1,child10,train
1,child11,train
1,child12,train
1,child13,train
1,child14,train
1,child2,train
1,child3,train
1,child5,train
1,child6,train
1,child8,train
1,child9,train
1,q1,train
1,q102,train
1,q14,train
1,q18,train
1,q2,train
1,q21,train
1,q22,train
1,q24,train
1,q34,train
1,q58,train
1,q59,train
1,q62,train
1,q63,train
1,q80,train
1,q85,train
1,q86,train
1,q9,train
1,q96,train
1,child4,test
1,child7,test
1,q16,test
1,q56,test
1,q61,test
1,q73,test
1,q8,test
1,q87,test
2,child1,train
2,child10,train
2,child11,train
2,child14,train
2,child2,train
2,child3,train
2,child4,train
2,child7,train
2,child8,train
2,child9,train
2,q102,train
2,q14,train
2,q16,train
2,q2,train
2,q21,train
2,q24,train
2,q34,train
2,q56,train
2,q58,train
2,q59,train
2,q61,train
2,q62,train
2,q63,train
2,q73,train
2,q8,train
2,q85,train
2,q86,train
2,q87,train
2,q9,train
2,q96,train
2,child12,test
2,child13,test
2,child5,test
2,child6,test
2,q1,test
2,q18,test
2,q22,test
2,q80,test
3,child10,train
3,child11,train
3,child12,train
3,child13,train
3,child14,train
3,child2,train
3,child4,train
3,child5,train
3,child6,train
3,child7,train
3,child8,train
3,child9,train
3,q1,train
3,q16,train
3,q18,train
3,q2,train
3,q21,train
3,q22,train
3,q24,train
3,q56,train
3,q59,train
3,q61,train
3,q62,train
3,q63,train
3,q73,train
3,q8,train
3,q80,train
3,q85,train
3,q86,train
3,q87,train
3,child1,test
3,child3,test
3,q102,test
3,q14,test
3,q34,test
3,q58,test
3,q9,test
3,q96,test
4,child1,train
4,child10,train
4,child12,train
4,child13,train
4,child2,train
4,child3,train
4,child4,train
4,child5,train
4,child6,train
4,child7,train
4,child9,train
4,q1,train
4,q102,train
4,q14,train
4,q16,train
4,q18,train
4,q21,train
4,q22,train
4,q34,train
4,q56,train
4,q58,train
4,q59,train
4,q61,train
4,q63,train
4,q73,train
4,q8,train
4,q80,train
4,q86,train
4,q87,train
4,q9,train
4,q96,train
4,child11,test
4,child14,test
4,child8,test
4,q2,test
4,q24,test
4,q62,test
4,q85,test
5,child1,train
5,child11,train
5,child12,train
5,child13,train
5,child14,train
5,child3,train
5,child4,train
5,child5,train
5,child6,train
5,child7,train
5,child8,train
5,q1,train
5,q102,train
5,q14,train
5,q16,train
5,q18,train
5,q2,train
5,q22,train
5,q24,train
5,q34,train
5,q56,train
5,q58,train
5,q61,train
5,q62,train
5,q73,train
5,q8,train
5,q80,train
5,q85,train
5,q87,train
5,q9,train
5,q96,train
5,child10,test
5,child2,test
5,child9,test
5,q21,test
5,q59,test
5,q63,test
5,q86,test
