stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
child1,119,121,0.7603305785123967,0.773109243697479,0.7666666666666667,0.9586776859504132,0.9747899159663865,0.9666666666666667,0.9586776859504132,0.9747899159663865,0.9666666666666667,0.09243697478991597,0.07563025210084033,0.0
child10,87,83,0.7710843373493976,0.735632183908046,0.7529411764705882,0.9036144578313253,0.8620689655172413,0.8823529411764707,0.9518072289156626,0.9080459770114943,0.9294117647058823,0.10344827586206896,0.1724137931034483,0.022988505747126436
child11,72,70,0.8857142857142857,0.8611111111111112,0.8732394366197184,0.9428571428571428,0.9166666666666666,0.9295774647887323,0.9571428571428572,0.9305555555555556,0.943661971830986,0.1527777777777778,0.19444444444444445,0.041666666666666664
child12,89,91,0.7032967032967034,0.7191011235955056,0.7111111111111111,0.8021978021978022,0.8202247191011236,0.8111111111111112,0.8571428571428571,0.8764044943820225,0.8666666666666666,0.16853932584269662,0.1797752808988764,0.0449438202247191
child13,62,66,0.8333333333333334,0.8870967741935484,0.859375,0.8636363636363636,0.9193548387096774,0.890625,0.8636363636363636,0.9193548387096774,0.890625,0.1774193548387097,0.1774193548387097,0.04838709677419355
child14,161,156,0.6794871794871795,0.6583850931677019,0.6687697160883281,0.8269230769230769,0.8012422360248447,0.8138801261829653,0.8461538461538461,0.8198757763975155,0.8328075709779179,0.15527950310559005,0.16149068322981366,0.006211180124223602
child2,110,105,0.780952380952381,0.7454545454545455,0.7627906976744186,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.06363636363636363,0.10909090909090909,0.00909090909090909
child3,61,58,0.7413793103448276,0.7049180327868853,0.7226890756302522,0.9137931034482759,0.8688524590163934,0.8907563025210085,0.9310344827586207,0.8852459016393442,0.9075630252100839,0.08196721311475409,0.11475409836065574,0.0
child4,30,28,0.75,0.7,0.7241379310344827,0.8571428571428571,0.8,0.8275862068965518,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.03333333333333333,0.13333333333333333,0.03333333333333333
child5,61,61,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.9672131147540983,0.08196721311475409,0.08196721311475409,0.0
child6,60,63,0.7777777777777778,0.8166666666666667,0.7967479674796747,0.9206349206349206,0.9666666666666667,0.943089430894309,0.9206349206349206,0.9666666666666667,0.943089430894309,0.15,0.15,0.05
child7,60,59,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.9152542372881356,0.9,0.9075630252100839,0.9152542372881356,0.9,0.9075630252100839,0.13333333333333333,0.11666666666666667,0.0
child8,87,83,0.8433734939759037,0.8045977011494253,0.8235294117647061,0.891566265060241,0.8505747126436781,0.8705882352941176,0.9397590361445783,0.896551724137931,0.9176470588235294,0.11494252873563218,0.1724137931034483,0.04597701149425287
child9,61,59,0.8983050847457628,0.8688524590163934,0.8833333333333333,0.9661016949152542,0.9344262295081968,0.95,0.9830508474576272,0.9508196721311475,0.9666666666666667,0.13114754098360656,0.18032786885245902,0.01639344262295082
q1,28,25,0.56,0.5,0.5283018867924528,0.76,0.6785714285714286,0.7169811320754718,0.92,0.8214285714285714,0.8679245283018867,0.07142857142857142,0.25,0.07142857142857142
