stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious,audio_duration_seconds,split_approx_count,split_per_5_seconds,split_per_100_ref_notes,merged_approx_count,merged_per_5_seconds,merged_per_100_ref_notes,spurious_approx_count,spurious_per_5_seconds,spurious_per_100_ref_notes
child1,119,121,0.7603305785123967,0.773109243697479,0.7666666666666667,0.9586776859504132,0.9747899159663864,0.9666666666666668,0.9586776859504132,0.9747899159663864,0.9666666666666668,0.0924369747899159,0.0756302521008403,0.0,56.93337868480726,10.999999999999993,0.9660413850456548,9.24369747899159,8.999999999999996,0.790397496855536,7.563025210084031,0.0,0.0,0.0
child10,87,83,0.7710843373493976,0.735632183908046,0.7529411764705882,0.9036144578313252,0.8620689655172413,0.8823529411764707,0.9518072289156626,0.9080459770114944,0.9294117647058824,0.1034482758620689,0.1724137931034483,0.0229885057471264,37.220884353741496,8.999999999999995,1.208998678600083,10.34482758620689,15.000000000000002,2.0149977976668065,17.24137931034483,1.9999999999999967,0.2686663730222404,2.29885057471264
child11,72,70,0.8857142857142857,0.8611111111111112,0.8732394366197184,0.9428571428571428,0.9166666666666666,0.9295774647887324,0.9571428571428572,0.9305555555555556,0.943661971830986,0.1527777777777778,0.1944444444444444,0.0416666666666666,37.652857142857144,11.0,1.460712524187123,15.277777777777779,13.999999999999996,1.859088667147247,19.44444444444444,2.9999999999999956,0.3983761429601238,4.16666666666666
child12,89,91,0.7032967032967034,0.7191011235955056,0.7111111111111111,0.8021978021978022,0.8202247191011236,0.8111111111111112,0.8571428571428571,0.8764044943820225,0.8666666666666666,0.1685393258426966,0.1797752808988764,0.0449438202247191,35.06063492063492,14.999999999999996,2.1391512210139347,16.85393258426966,16.0,2.281761302414864,17.97752808988764,4.0,0.570440325603716,4.49438202247191
child13,62,66,0.8333333333333334,0.8870967741935484,0.859375,0.8636363636363636,0.9193548387096774,0.890625,0.8636363636363636,0.9193548387096774,0.890625,0.1774193548387097,0.1774193548387097,0.0483870967741935,30.49907029478458,11.0,1.8033336579903927,17.741935483870968,11.0,1.8033336579903927,17.741935483870968,2.999999999999997,0.49181827036101566,4.83870967741935
child14,161,156,0.6794871794871795,0.6583850931677019,0.6687697160883281,0.8269230769230769,0.8012422360248447,0.8138801261829653,0.8461538461538461,0.8198757763975155,0.8328075709779179,0.15527950310559,0.1614906832298136,0.0062111801242236,86.89605442176871,24.99999999999999,1.4385002959200601,15.527950310559,25.99999999999999,1.4960403077568627,16.14906832298136,0.9999999999999997,0.05754001183680241,0.6211180124223601
child2,110,105,0.780952380952381,0.7454545454545455,0.7627906976744186,0.9523809523809524,0.9090909090909092,0.9302325581395348,0.9523809523809524,0.9090909090909092,0.9302325581395348,0.0636363636363636,0.109090909090909,0.009090909090909,54.41925170068027,6.9999999999999964,0.643154745906998,6.36363636363636,11.999999999999991,1.1025509929834247,10.9090909090909,0.99999999999999,0.09187924941528454,0.9090909090909001
child3,61,58,0.7413793103448276,0.7049180327868853,0.7226890756302522,0.913793103448276,0.8688524590163934,0.8907563025210085,0.9310344827586208,0.8852459016393442,0.907563025210084,0.081967213114754,0.1147540983606557,0.0,30.0,4.999999999999994,0.8333333333333324,8.1967213114754,6.999999999999997,1.1666666666666663,11.47540983606557,0.0,0.0,0.0
child4,30,28,0.75,0.7,0.7241379310344827,0.8571428571428571,0.8,0.8275862068965518,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.0333333333333333,0.1333333333333333,0.0333333333333333,14.168707482993197,0.9999999999999989,0.3528903399270209,3.33333333333333,3.999999999999999,1.411561359708085,13.33333333333333,0.9999999999999989,0.3528903399270209,3.33333333333333
child5,61,61,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.9672131147540984,0.9672131147540984,0.9672131147540984,0.9672131147540984,0.9672131147540984,0.9672131147540984,0.081967213114754,0.081967213114754,0.0,29.62124716553288,4.999999999999994,0.8439887713131078,8.1967213114754,4.999999999999994,0.8439887713131078,8.1967213114754,0.0,0.0,0.0
