stem,confidence_threshold,profile_cosine_similarity,jensen_shannon_distance,dominant_pitch_class_match,symbolic_dominant_pitch_class,audio_dominant_pitch_class,symbolic_template_label,audio_template_label,descriptive_exact_label_agreement,descriptive_tonic_agreement,descriptive_mode_agreement,symbolic_pc_0,symbolic_pc_1,symbolic_pc_2,symbolic_pc_3,symbolic_pc_4,symbolic_pc_5,symbolic_pc_6,symbolic_pc_7,symbolic_pc_8,symbolic_pc_9,symbolic_pc_10,symbolic_pc_11,audio_pc_0,audio_pc_1,audio_pc_2,audio_pc_3,audio_pc_4,audio_pc_5,audio_pc_6,audio_pc_7,audio_pc_8,audio_pc_9,audio_pc_10,audio_pc_11
child1,0.3,0.9973304424778714,0.06404912894175645,True,4,4,E minor,E minor,True,True,True,0.06290923901124708,0.10579905385507067,0.15576929101788867,0.17212318681662944,0.21567091700867824,0.10633165199411021,0.03443090322378503,0.06015226040916136,0.0065791534822519735,0.026034650208339945,0.010182023246342277,0.044017669726495054,0.06911528616076837,0.11192549313335177,0.15079933537329673,0.1646287129776445,0.21873099849803268,0.1007629613763033,0.04612844113354562,0.05783746835575124,0.01697428273827431,0.02720180231940591,0.008212867598933395,0.027682350334692137
child10,0.3,0.9882935324394978,0.07628332003551866,False,5,6,F minor,F minor,True,True,True,0.05053394355453842,0.015942028985507218,0.02787948131197565,0.044164759725400356,0.11170861937452334,0.19469870327993904,0.17974828375286056,0.1193745232646834,0.17318840579710124,0.0513348588863465,0.02463768115942025,0.006788710907704073,0.045189706394222054,0.02255722938416532,0.022920693412239568,0.05764520642360898,0.14792785932448232,0.16776740066618998,0.1686711070079619,0.1348556264365625,0.15410180218551736,0.05819807698691818,0.016205123164147225,0.003960168613984646
child11,0.3,0.9794950290992817,0.10937830511445565,True,6,6,Eb minor,Eb minor,True,True,True,0.03871391076115485,0.019723637486490624,0.10394472749729816,0.18573413617415477,0.11452061139416403,0.03948587308939315,0.22120580515670812,0.08236838042303522,0.06110081828006796,0.044889609387061914,0.06870464721321627,0.019607843137254864,0.044747685276432164,0.037135927382578725,0.09988646233930475,0.16554614871492787,0.13415699236663597,0.06511873655287355,0.17504167046942468,0.10719906447969117,0.04435997520467477,0.048706461924961905,0.04703015951848758,0.03107071577000687
child12,0.3,0.9874280962884133,0.08996475523229185,True,3,3,Eb minor,Eb minor,True,True,True,0.0636340512124811,0.02942173986772925,0.08538239782940495,0.26157368153298294,0.12497880278107502,0.15287434288621318,0.09509072409699838,0.05574868577242666,0.05362896387993903,0.0,0.0,0.07766661014074956,0.06081444586824703,0.04545032682617937,0.08936375346357753,0.23758585100872986,0.16729054481597494,0.12658189849294219,0.09332528196099434,0.04471507895199779,0.048166511005023,0.0,0.005367703368702448,0.08133860423763152
child13,0.3,0.9898678560407665,0.1300747131409167,True,6,6,F# minor,F# minor,True,True,True,0.021811856014987346,0.09844328471385881,0.022971586600651184,0.08635532360943851,0.16918685043935922,0.1576787546277712,0.18859003523796794,0.07979838529818466,0.03202640617333516,0.08376823230295721,0.05936928498148898,0.0,0.021924356435281386,0.08658127593359545,0.03681414887728659,0.09218364384273774,0.18597974490851546,0.15030274392679427,0.19697398767374835,0.04802381357504512,0.030901565200837897,0.0688953623570983,0.058258690678997284,0.023160666590062166
child14,0.3,0.9952164004366019,0.06450775205384102,True,1,1,C# major,C# major,True,True,True,0.05836984466089766,0.3017344389325412,0.15611760871926691,0.16685374950211915,0.053916066191114234,0.08648658435021882,0.040916826592316366,0.052196111090994486,0.03897961400586568,0.024006952239562583,0.0051598653003584105,0.015262338414744468,0.07443553207269418,0.27448793319921483,0.15949509902255202,0.16781590380731198,0.06782379477474464,0.07606541865517853,0.05625139935108998,0.04212875146975369,0.03598655423371193,0.020391121882653372,0.00276542957713839,0.022353061953956442
child2,0.3,0.9943926565674149,0.08633091528780011,True,6,6,F# minor,F# minor,True,True,True,0.022884950514582583,0.0,0.007365271429980489,0.033801334955446696,0.07963699733666502,0.14358991220859593,0.40005918521684714,0.1553940749021803,0.07611876500180875,0.03153256830960447,0.01933383750369899,0.030283102620589798,0.033383606195928964,0.007396899611172606,0.006407622048281761,0.03640683942946603,0.07947616866944433,0.1707011606310302,0.3553753036673712,0.15102256012446436,0.06964956400067981,0.0420390607307786,0.013312179954377099,0.03482903493700505
child3,0.3,0.9866936606958849,0.10670257635953795,True,5,5,F major,F minor,False,True,False,0.032881806108897745,0.04467463479415678,0.050517928286852566,0.029641434262948303,0.09428950863213789,0.22911022576361245,0.14177954847277566,0.17460823373173978,0.03952191235059752,0.10571049136786176,0.057264276228419696,0.0,0.010312601458041698,0.058035207597565676,0.04804963358581218,0.03364692659760064,0.12224515192391902,0.2050832502604102,0.14556834353905873,0.16883741973604208,0.07203138751437246,0.08835415943243981,0.04783591835473751,0.0
child4,0.3,0.9727971700533642,0.21070492146089037,True,8,8,F minor,C# major,False,False,False,0.0,0.0,0.0956731379266592,0.027280801928689227,0.06712346148965853,0.15454891511229524,0.16292348686714883,0.11153406928054813,0.23791397030833655,0.0,0.14300215708666428,0.0,0.0,0.028668413849045744,0.06719138666054818,0.025614743616966945,0.07884317018894994,0.1361045883205417,0.19259110126011306,0.12318096478685062,0.2159073430539274,0.042845222436999744,0.08905306582605665,0.0
child5,0.3,0.9859962053862064,0.16471106019413687,True,6,6,Eb minor,Eb minor,True,True,True,0.0,0.0,0.0,0.15987701767870874,0.0221096893792106,0.019984627209838755,0.2826332685264728,0.18501605100149204,0.17619930370303377,0.0620337297101777,0.09214631279106564,0.0,0.0,0.0,0.006089481184598946,0.13501904024805825,0.05686867282104061,0.05320477044312832,0.2606441223022778,0.18946345773309678,0.14814164232133847,0.07423157489043057,0.06040766486174524,0.015929573194285004
