stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
child1,119,130,0.15384615384615385,0.16806722689075632,0.1606425702811245,0.16923076923076924,0.18487394957983194,0.17670682730923692,0.17692307692307693,0.19327731092436976,0.1847389558232932,0.5210084033613446,0.453781512605042,0.008403361344537815
child10,87,93,0.12903225806451613,0.13793103448275862,0.13333333333333333,0.17204301075268819,0.1839080459770115,0.17777777777777778,0.1935483870967742,0.20689655172413793,0.19999999999999998,0.632183908045977,0.5977011494252874,0.0
child11,72,77,0.14285714285714285,0.1527777777777778,0.1476510067114094,0.15584415584415584,0.16666666666666666,0.1610738255033557,0.16883116883116883,0.18055555555555555,0.17449664429530204,0.6805555555555556,0.6527777777777778,0.027777777777777776
child12,89,94,0.20212765957446807,0.21348314606741572,0.20765027322404372,0.2553191489361702,0.2696629213483146,0.26229508196721313,0.2978723404255319,0.3146067415730337,0.3060109289617486,0.6853932584269663,0.6741573033707865,0.02247191011235955
child13,62,67,0.14925373134328357,0.16129032258064516,0.15503875968992248,0.208955223880597,0.22580645161290322,0.21705426356589147,0.22388059701492538,0.24193548387096775,0.23255813953488375,0.5967741935483871,0.5806451612903226,0.04838709677419355
child14,161,186,0.0913978494623656,0.10559006211180125,0.09798270893371758,0.12903225806451613,0.14906832298136646,0.13832853025936598,0.14516129032258066,0.16770186335403728,0.15561959654178675,0.6459627329192547,0.5962732919254659,0.018633540372670808
child2,110,126,0.0873015873015873,0.1,0.09322033898305085,0.1111111111111111,0.12727272727272726,0.11864406779661016,0.11904761904761904,0.13636363636363635,0.1271186440677966,0.5727272727272728,0.4909090909090909,0.0
child3,61,71,0.1267605633802817,0.14754098360655737,0.13636363636363635,0.15492957746478872,0.18032786885245902,0.16666666666666666,0.15492957746478872,0.18032786885245902,0.16666666666666666,0.5409836065573771,0.4098360655737705,0.0
child4,30,37,0.21621621621621623,0.26666666666666666,0.23880597014925373,0.2702702702702703,0.3333333333333333,0.29850746268656714,0.2702702702702703,0.3333333333333333,0.29850746268656714,0.5,0.43333333333333335,0.03333333333333333
child5,61,69,0.14492753623188406,0.16393442622950818,0.15384615384615385,0.17391304347826086,0.19672131147540983,0.18461538461538463,0.21739130434782608,0.2459016393442623,0.23076923076923075,0.5081967213114754,0.4098360655737705,0.0
child6,60,71,0.08450704225352113,0.1,0.09160305343511452,0.1267605633802817,0.15,0.13740458015267176,0.16901408450704225,0.2,0.18320610687022904,0.5,0.38333333333333336,0.016666666666666666
child7,60,72,0.125,0.15,0.13636363636363635,0.1527777777777778,0.18333333333333332,0.16666666666666666,0.20833333333333334,0.25,0.22727272727272727,0.5166666666666667,0.36666666666666664,0.0
child8,87,98,0.16326530612244897,0.1839080459770115,0.17297297297297298,0.19387755102040816,0.21839080459770116,0.20540540540540542,0.22448979591836735,0.25287356321839083,0.23783783783783785,0.6781609195402298,0.6206896551724138,0.022988505747126436
child9,61,64,0.171875,0.18032786885245902,0.17600000000000002,0.171875,0.18032786885245902,0.17600000000000002,0.1875,0.19672131147540983,0.192,0.6065573770491803,0.5737704918032787,0.01639344262295082
q1,28,38,0.10526315789473684,0.14285714285714285,0.12121212121212122,0.23684210526315788,0.32142857142857145,0.2727272727272727,0.3157894736842105,0.42857142857142855,0.36363636363636365,0.75,0.6071428571428571,0.03571428571428571
q102,62,59,0.4915254237288136,0.46774193548387094,0.4793388429752066,0.5932203389830508,0.5645161290322581,0.5785123966942148,0.6779661016949152,0.6451612903225806,0.6611570247933884,0.532258064516129,0.4838709677419355,0.0
q14,27,31,0.2903225806451613,0.3333333333333333,0.3103448275862069,0.3548387096774194,0.4074074074074074,0.3793103448275862,0.3548387096774194,0.4074074074074074,0.3793103448275862,0.5185185185185185,0.4074074074074074,0.0
q16,29,34,0.38235294117647056,0.4482758620689655,0.41269841269841273,0.4117647058823529,0.4827586206896552,0.4444444444444445,0.47058823529411764,0.5517241379310345,0.507936507936508,0.7241379310344828,0.6551724137931034,0.0
q18,36,47,0.0851063829787234,0.1111111111111111,0.09638554216867469,0.1276595744680851,0.16666666666666666,0.14457831325301204,0.1276595744680851,0.16666666666666666,0.14457831325301204,0.8055555555555556,0.75,0.0
q2,35,33,0.12121212121212122,0.11428571428571428,0.11764705882352942,0.21212121212121213,0.2,0.2058823529411765,0.30303030303030304,0.2857142857142857,0.2941176470588235,0.4857142857142857,0.5714285714285714,0.0
q21,78,87,0.2413793103448276,0.2692307692307692,0.2545454545454545,0.3563218390804598,0.3974358974358974,0.37575757575757573,0.42528735632183906,0.47435897435897434,0.4484848484848485,0.6538461538461539,0.6538461538461539,0.0
q22,85,99,0.1414141414141414,0.16470588235294117,0.15217391304347827,0.25252525252525254,0.29411764705882354,0.2717391304347826,0.31313131313131315,0.36470588235294116,0.33695652173913043,0.7529411764705882,0.6823529411764706,0.023529411764705882
q24,49,47,0.0851063829787234,0.08163265306122448,0.08333333333333333,0.14893617021276595,0.14285714285714285,0.14583333333333334,0.1702127659574468,0.16326530612244897,0.16666666666666666,0.6326530612244898,0.6530612244897959,0.02040816326530612
q34,35,36,0.25,0.2571428571428571,0.2535211267605634,0.3333333333333333,0.34285714285714286,0.3380281690140845,0.3888888888888889,0.4,0.39436619718309857,0.5428571428571428,0.5428571428571428,0.0
q56,52,45,0.2,0.17307692307692307,0.18556701030927836,0.35555555555555557,0.3076923076923077,0.32989690721649484,0.4222222222222222,0.36538461538461536,0.39175257731958757,0.4807692307692308,0.46153846153846156,0.0
q58,37,47,0.0425531914893617,0.05405405405405406,0.047619047619047616,0.1276595744680851,0.16216216216216217,0.14285714285714288,0.23404255319148937,0.2972972972972973,0.2619047619047619,0.7567567567567568,0.5405405405405406,0.0
q59,29,33,0.2727272727272727,0.3103448275862069,0.2903225806451613,0.30303030303030304,0.3448275862068966,0.32258064516129037,0.30303030303030304,0.3448275862068966,0.32258064516129037,0.6551724137931034,0.5517241379310345,0.0
q61,29,29,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.5172413793103449,0.5172413793103449,0.0
q62,32,35,0.45714285714285713,0.5,0.4776119402985075,0.45714285714285713,0.5,0.4776119402985075,0.4857142857142857,0.53125,0.5074626865671641,0.375,0.34375,0.0
q63,34,36,0.25,0.2647058823529412,0.2571428571428572,0.3055555555555556,0.3235294117647059,0.31428571428571433,0.3333333333333333,0.35294117647058826,0.34285714285714286,0.5294117647058824,0.47058823529411764,0.0
q73,39,45,0.08888888888888889,0.10256410256410256,0.09523809523809523,0.1111111111111111,0.1282051282051282,0.11904761904761904,0.15555555555555556,0.1794871794871795,0.16666666666666666,0.7435897435897436,0.6666666666666666,0.0
q8,56,56,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.5892857142857143,0.0
q80,56,72,0.09722222222222222,0.125,0.10937500000000001,0.18055555555555555,0.23214285714285715,0.20312500000000003,0.19444444444444445,0.25,0.21875000000000003,0.6964285714285714,0.6071428571428571,0.0
q85,23,34,0.058823529411764705,0.08695652173913043,0.07017543859649121,0.17647058823529413,0.2608695652173913,0.2105263157894737,0.2647058823529412,0.391304347826087,0.3157894736842105,0.6956521739130435,0.43478260869565216,0.0
q86,51,52,0.09615384615384616,0.09803921568627451,0.09708737864077671,0.19230769230769232,0.19607843137254902,0.19417475728155342,0.2692307692307692,0.27450980392156865,0.27184466019417475,0.6666666666666666,0.6862745098039216,0.0
q87,67,80,0.1625,0.19402985074626866,0.17687074829931973,0.25,0.29850746268656714,0.27210884353741494,0.275,0.3283582089552239,0.29931972789115646,0.8208955223880597,0.7014925373134329,0.0
q9,43,44,0.25,0.2558139534883721,0.25287356321839083,0.36363636363636365,0.37209302325581395,0.367816091954023,0.4090909090909091,0.4186046511627907,0.4137931034482759,0.6976744186046512,0.6744186046511628,0.0
q96,20,23,0.2608695652173913,0.3,0.27906976744186046,0.2608695652173913,0.3,0.27906976744186046,0.2608695652173913,0.3,0.27906976744186046,0.4,0.3,0.0
